Sector,Industry,Topic,Definition
Resource Transformation,Electrical & Electronic Equipment,Product Lifecycle Management,"Electrical and electronic equipment entities face increasing challenges and opportunities associated with environmental and social externalities that may stem from the use of their products. Regulations are incentivising entities to reduce or eliminate the use of harmful chemicals in their products. To a lesser extent, regulations and customers are encouraging entities to reduce the environmental footprint of their products in the use-phase, primarily in terms of energy intensity. Electrical and electronic equipment entities that develop cost-effective products and energy efficiency solutions may benefit from increased revenue and market share, stronger competitive positioning and enhanced brand value. Similarly, products with reduced chemical safety concerns may provide opportunities for increased market share."
Resource Transformation,Electrical & Electronic Equipment,Business Ethics,"Electrical and electronic equipment manufacturers may be vulnerable to regulatory scrutiny of business ethics because of their operations in regions with weaker government enforcement of business ethics laws. Entities in this industry have been found in violation of corruption laws such as the U.S. Foreign Corrupt Practices Act (FCPA) and the U.K. Bribery Act, as well as anti-competitive behaviour. Unethical practices may jeopardise future revenue growth due to reputational risks and can result in significant legal costs and a higher risk profile. As such, strong governance practices can mitigate the riskof violations of business ethics laws and resulting regulatory penalties or brand-value impacts. "
Resource Transformation,Containers & Packaging,Product Safety,"Container and packaging product safety is a critical factor for the industry as many products are used in consumer-facing applications including in the food and health care industries. Aspects of packaging safety include physical hazards and thepresence of chemical substances. In the event of a product safety incident, products may be recalled or require redesign, possibly increasing costs to the manufacturer and resulting in reduced revenue and adverse impacts to brand value. As such, entities that proactively manage product safety risks can enhance their brand reputation and reduce the risk of adverse financial impacts."
Resource Transformation,Containers & Packaging,Greenhouse Gas Emissions,"The Containers & Packaging industry generates direct (Scope 1) greenhouse gas (GHG) emissions from fossil fuel combustion in manufacturing and cogeneration processes. GHG emissions may result in regulatory compliance costs or penalties and operating risks for entities. However, the financial effects may vary depending on the magnitude of emissions and the prevailing emissions regulations. The industry may be subject to increasingly stringent regulations as countries try to limit or reduce emissions. Entities that cost-effectively manage GHG emissions through greater energy efficiency, the use of alternative fuels or manufacturing process advances could benefit from improved operating efficiency and reduced regulatory risk, among other financial benefits."
Resource Transformation,Containers & Packaging,Supply Chain Management,"Containers and packaging manufacturing uses large quantities of raw materials including wood fibre and aluminium. Sustainable production of these materials is an important supply chain consideration for entities in the industry because adverse environmental impacts could increase materials costs and affect the brand value of entities. To mitigate such risks,entities may implement supply chain vetting practices and implement third-party standards within internal operations and suppliers that certify that the materials were produced in a sustainable manner. Additionally, such actions may raise brandvalue and meet customer demand for sustainably produced packaging products, providing access to new markets and growth opportunities."
Resource Transformation,Containers & Packaging,Water Management,"Containers and packaging manufacturing requires water for various stages of production including in raw materials processing, process cooling and steam generation at on site cogeneration plants. Long-term historical increases in water scarcity and cost, and expectations of continued increases—because of over-consumption and reduced supplies resulting from population growth and shifts, pollution and climate change—show the importance of water management. Water scarcity may result in a higher risk of operational disruption for entities with water-intensive operations, and can increase water procurement costs and capital expenditures. Meanwhile, containers and packaging manufacturing may generate process wastewater that must be treated before disposal. Non-compliance with water quality regulations may result in regulatory compliance and mitigation costs or legal expenses stemming from litigation. Reducing water use and consumption through increased efficiency and other water management strategies may result in lower operating costs over time and may mitigate financial effects of regulations, water supply shortages and community-related disruptions of operations."
Resource Transformation,Containers & Packaging,Air Quality,"In addition to greenhouse gases (GHGs), containers and packaging manufacturing may produce air emissions, including, but not limited to, sulphur dioxides (SOx), nitrogen oxides (NOx), and particulate matter (PM). As with GHGs, these emissions typically stem from the combustion of fuels to produce energy. Relative to other industries, the Containers & Packaging industry is a significant source of some of these emissions. Entities face operating costs, regulatory compliance costs, regulatory penalties in the event of non-compliance, and capital expenditures related to emissions management, while related financial impacts will vary depending on the magnitude of emissions and the prevailing regulations. As such,active management of the issue through technological process improvements or other strategies can mitigate such impacts, improving financial performance and enhancing brand value."
Resource Transformation,Containers & Packaging,Energy Management,"Containers and packaging manufacturing is energy-intensive, with energy used to power processing units, cogeneration plants, machinery and non-manufacturing facilities. The type of energy used, amount consumed and energy management strategies depend on the type of products manufactured. Typically, fossil fuels such as natural gas and biomass are the predominant form of energy used, while purchased electricity also may be a significant share. Therefore, energy purchases may be a significant share of production costs. An entity’s energy mix may include energy generated on site, purchased grid electricity and fossil fuels, and renewable and alternative energy. Trade-offs in the use of such energy sources include cost, reliability of supply, related water use and air emissions, and regulatory compliance and risk. As such,an entity’s energy intensity and energy sourcing decisions may affect its operating efficiency and risk profile over time."
Resource Transformation,Containers & Packaging,Product Lifecycle Management,"Containers and packaging entities face opportunities and challenges associated with the potential environmental impacts of their products throughout their lifecycle. Designing products with reduced use-phase and end-of-life environmental impacts is an important opportunity for manufacturers. Demand for packaging produced with safe chemicals and using recycled and renewable materials continues to grow, along with demand for recyclable, reusable, and compostable products. While the lifecycle impact of products depends largely on their use and disposal, entities that can effectively optimise such attributes during the design phase may gain a competitive advantage. "
Resource Transformation,Containers & Packaging,Waste Management,"Containers and packaging manufacturing may generate hazardous process waste which may include heavy metals, spent acids, catalysts and wastewater treatment sludge. Entities face regulatory and operational challenges in managing waste because some wastes are subject to regulations pertaining to its transport, treatment, storage and disposal. Waste management strategies include reduced generation, effective treatment and disposal, and recycling and recovery, if possible. Such activities, while requiring initial investment or operating costs, may reduce an entity’s long-term cost structure and mitigate the risk of remediation liabilities or regulatory penalties."
Financials,Asset Management & Custody Activities,Financed Emissions,"Entities participating in asset management activities face risks and opportunities related to the greenhouse gas emissions associated with those activities. Counterparties, borrowers or investees with higher emissions might be more susceptible to risks associated with technological changes, shifts in supply and demand and policy change which in turn can impact the prospects of a financial institution that is providing financial services to these entities. These risks and opportunities can arise in the form of credit risk, market risk, reputational risk and other financial and operational risks. For example, credit risk might arise in relation to financing clients affected by increasingly stringent carbon taxes, fuel efficiency regulations or other policies; credit risk might also arise through related technological shifts. Reputational risk might arise from financing fossil-fuel projects. Entities participating in asset management activities are increasingly monitoring and managing such risks by measuring their financed emissions. This measurement serves as an indicator of an entity’s exposure to climate-related risks and opportunities and how it might need to adapt its investment strategies over time."
Financials,Asset Management & Custody Activities,Employee Diversity & Inclusion,"Asset management and custody activities entities face a high degree of competition for skilled employees. At the same time, the industry has a low level of diversity, especially among senior roles. In recent years, considerable media attention has been focused on cases of gender discrimination involving publicly listed entities in the industry. As the industry continues to undergo rapid innovation through the introduction of more complex financial products and computerised algorithmic and high-frequency trading, the ability of entities to attract and retain skilled employees will likely be increasingly material. By ensuring gender and racial diversity throughout the organisation, entities are likely to expand their candidate pools, which could lower hiring costs and improve operational efficiency. Further, evidence suggests that diverse groups of employees at asset management entities may enhance the risk-return characteristics of investment portfolios. Enhanced disclosure regarding employee gender and racial/ethnic diversity, especially when provided by employee category, will allow shareholders to assess how entities in this industry are managing the associated risks and opportunities. "
Financials,Asset Management & Custody Activities,Business Ethics,"The regulatory environment surrounding the Asset Management & Custody Activities industry continues to evolve both nationally and internationally. Entities are required to adhere to a complex and often inconsistent set of rules relating to performance and conduct as well as disclosure on issues including insider trading, clearing requirements in over-the-counter derivatives markets, and tax evasion. Asset management and custody activities entities are also subject to strict legal requirements as fiduciaries or custodians of their clients. Finally, in some jurisdictions, enhanced rewards for whistleblowers may lead to an increase in the number of complaints brought to regulators. Firms that are able to ensure regulatory compliance through robust internal controls will be better positioned to build trust with clients, leading to increased revenue, and to protect shareholder value by minimising losses incurred as a result of legal proceedings."
Financials,Asset Management & Custody Activities,Factors in Investment Management & Advisory,"Asset Management & Custody Activities entities maintain a fiduciary responsibility to their clients. These entities must consider and incorporate an analysis of all material information into investment decisions, including environmental, social and governance (ESG) factors. The process of ESG investment involves consideration of ESG factors in valuation, modelling, portfolio construction, proxy voting and engagement with investees and, as a result, in investment decision-making by asset and wealth managers. As the management and use of non-financial forms of capital increasingly contribute to market value, incorporation of ESG factors in the analysis of investees has become more relevant. Research has established that an entity’s management of some ESG factors may impact materially both its accounting and market returns. Therefore, deep understanding of investees’ ESG performance, integration of ESG factors in valuation and modelling, as well as engagement with investees on sustainability issues allows asset managers to generate superior returns. On the other hand, asset management and custody activities industry entities that fail to consider these risks and opportunities in their investment management activities may witness diminished investment portfolio returns that may result in reduced performance fees. Over the long term, these failures could result in an outflow of assets under management (AUM), the loss of market share and lower management fees."
Financials,Asset Management & Custody Activities,Transparent Information & Fair Advice for Customers,"Asset managers have legal obligations and fiduciary duties related to record keeping, operating and marketing, disclosure requirements, and prohibition of fraudulent activities. Regulations surrounding the Asset Management & Custody Activities industry are intended to align the interests of entities and their clients and to limit conflicts of interest. This alignment, coupled with the fact that most asset managers earn fees based on the amount of assets under management,provides a significant incentive for entities to provide clients with strategies that match their risk-return profiles. Despite required disclosures, entities still face significant challenges in ensuring that clients understand the nature of risks taken ininvestment strategies. Failure to provide services that satisfy customer expectations may result in lengthy and costly litigation, diminished trust with clients, and lower sales as a result. Enhanced disclosure on procedures or programs to provide adequate, clear, and transparent information about products and services, the regulatory violation record of employees, and the amount of fines and settlements associated with professional integrity will provide investors with an advanced understanding of how well entities manage risks associated with this issue and whether they are able to preserve long-term value for shareholders. "
Infrastructure,Real Estate,Climate Change Adaptation,"Climate change affects entities in the industry via frequent or high-impact extreme weather events and changing climate patterns. How an entity structures its business model to incorporate assessments of climate change risks, and the adaptation to such risks, may increasingly be relevant to entity value over the long-term. More specifically, investment strategies with assets located on floodplains and in coastal regions exposed to inclement weather may require increased risk mitigation and business model adaptation to long-term climate change. These strategies are especially important considering the long-term challenges associated with flood insurance rates, the financial stability of government-subsidised flood insurance programs, and financing stipulations or other creditor concerns. Besides insurance, other risk mitigation measures include improvements to physical asset resiliency and lease terms that transfer risk to tenants, although these measures can create their own costs and risks for real estate entities. To ensure long-term growth, entities must implement comprehensive climate change adaptation strategies, account for trade-offs between various risk mitigation strategies, and integrate all projected cost and benefit considerations over the long-term."
Infrastructure,Real Estate,Management of Tenant Sustainability Impacts,"Real estate assets generate significant sustainability impacts, including resource consumption (energy and water), waste generation and impacts on occupant health through indoor environmental quality. While entities own real estate assets, the tenant operations of such assets dominate the sustainability impacts produced by the built environment. Tenants may design and construct leased spaces according to their operating needs. In turn, their operations consume significant amounts of energy and water, generate waste, and impact the health of those living, working, shopping, or visiting the properties. While these sustainability impacts often are often generated by tenant operations and activities, real estate owners play an important role in influencing tenant sustainability impacts. The way entities in the industry structure their agreements, contracts and relationships with tenants may be instrumental in managing the sustainability impacts of their tenants effectively, and ultimately, the impacts of their assets. Managing tenant sustainability impacts may include mitigating the problem of split incentives by aligning both parties’ financial interests with sustainability outcomes, establishing systematic measurement and communication of resource consumption data, creating shared performance goals, and mandating minimum sustainability performance or design requirements, among other strategies. Effective management of tenant sustainability impacts, particularly related to energy, water and indoor environmental quality, may drive asset value appreciation, increase tenant demand and satisfaction, decrease direct operating costs, or decrease risks related to building codes and regulations."
Infrastructure,Real Estate,Energy Management,"Real estate assets consume significant amounts of energy for space heating, ventilating, air conditioning, water heating, lighting and using equipment and appliances. The type and magnitude of energy used and strategies for energy management are dependent upon the real estate asset class, among other factors. Generally, grid electricity is the predominant form of consumed energy, though on-site fuel combustion and renewable energy production also serve important roles. Energy costs may be borne by entities or property occupants; either way, energy management is a significant industry issue. To the extent that the real estate owner assumes direct responsibility for energy costs, such costsoften represent significant operating costs, indicating the importance of energy management. Energy pricing volatility anda general trend of electricity price increases, energy-related regulations, potentially wide variations in energy performance in existing building stock, and opportunities for efficiency improvements through economically attractive capital investments all show the importance of energy management. Energy costs assumed by occupants, either in whole or in part, are nonetheless likely to affect entities through various channels. Building energy performance is a notable driver of tenant demand, because it allows them to control operating costs, mitigate potential environmental impacts, and, often just as importantly, maintain a reputation for resource conservation. Additionally, real estate owners may be exposed to energy-related regulations even if energy costs are the occupants’ responsibility. Overall, entities that effectively manage asset energy performance may realise reduced operating costs and regulatory risks, as well as increased tenant demand, rental rates and occupancy rates—all of which drive revenue and asset value appreciation. Improving energy performance is dependent upon property type and location, target tenant market, local building codes, physical and legal opportunitiesto deploy distributed renewable energy, the ability to measure consumption, and existing building stock, among other factors."
Infrastructure,Real Estate,Water Management,"Buildings consume significant amounts of water in their operations, through water fixtures, building equipment, appliances and irrigation. Water consumption operating costs may be significant depending on property type, tenant operations, geographical locations and other factors. Entities can be responsible for a building’s water costs, or common area water costs, though entities commonly allocate all, or a portion, of these costs to occupants. In these arrangements, water management through tenant demand and regulatory exposure continues to be important. Tenants may assess real estate asset water efficiency to control operating costs, mitigate environmental impacts of operations, and, often just as importantly, develop a reputation for resource conservation. Additionally, real estate owners may comply with water-related regulations even if water costs are the occupants’ responsibility. Overall, entities that effectively manage asset water efficiency, even if they bear no direct water costs, may realise reduced operating costs and regulatory exposure, as well as increased tenant demand, rental rates and occupancy rates—all of which drive revenue and asset value appreciation. Long-term historic water expense increases and expectations of continued increases because of overconsumption and constrained supplies resulting from population growth and shifts, pollution and climate change show the importance of water management. Improving asset water efficiency is dependent upon the property type, water availability, target tenant market, local building codes, the ability to measure consumption and the existing buildingstock, among other factors."
Consumer Goods,E-Commerce,Product Packaging & Distribution,"A significant part of the E-Commerce industry’s added value comes from an entity’s ability to move a wide array of goods efficiently to consumers who would otherwise have to personally travel to collect the goods from brick-and-mortar stores.As the volume of packaging shipments increases, the industry may become more exposed to environmental externalities, such as carbon pricing and rising fuel costs that present risks associated with the shipping of products. While entities that outsource shipping and logistics have less control over the specific processes of shipping operations, they still can select suppliers with more energy-efficient business practices. Because this is a highly competitive and low-margin industry, the ability to reduce shipping costs through fuel reduction and more efficient routing may permit entities to pass those savings on to their customers. E-commerce entities also have an incentive to minimise the use of packaging. Efficient packaging can decrease costs by reducing the amount of purchased packaging material, as well as saving logistics costs because more products may fit into a single shipping load."
Consumer Goods,E-Commerce,Hardware Infrastructure Energy & Water Management,"The E-Commerce industry uses a large part of the energy it consumes to power critical hardware and IT infrastructure in data centres. Data centres must be powered continuously, and disruptions to the energy supply can have a material impact on operations, depending on the disruption magnitude and timing. Entities also face a trade-off between energy and water consumption for their data centre cooling needs. Cooling data centres with water instead of chillers improves energy efficiency, but this method can result in dependence on potentially scarce local water resources. Entities that effectively manage this issue may benefit from cost savings and minimise reputational risks, because concerns over energyand water use are growing."
Consumer Goods,E-Commerce,Data Privacy & Advertising Standards,"E-commerce entities have access to consumer information, including financial information, purchase history, and basic demographic data. Entities in this industry must carefully manage two separate and often conflicting priorities. On one hand, entities compete on their ability to leverage data to provide users with relevant services and target advertising or product recommendations based on consumers’ preferences and behaviour patterns. On the other hand, the fact that entities have access to a wide range of user data, such as personal, demographic, and behavioural data, raises privacy concerns among users and the public at large, and is leading to increased regulatory scrutiny from authorities in the U.S., Europe, and other jurisdictions. Failure to manage the issue can result in costs associated with regulatory oversight and reputational risks. Furthermore, effective management in this area can have financial implications through increased user confidence and loyalty, which are particularly important to maintain market share."
Consumer Goods,E-Commerce,"Employee Recruitment, Inclusion & Performance","Employees are key contributors to value creation in the E-Commerce industry. While the number of job openings in the industry continues to grow, entities are finding it difficult to recruit qualified employees to fill these positions. In key markets, a shortage of technically skilled domestic workers has created intense competition to acquire such employees, contributing to high turnover rates. This competition for talent and the search for innovation opportunities presents several interrelated sustainability challenges regarding human capital that entities must manage. Hiring foreign nationals to compensate for shortages in local talent can create risks related to perceived social implications in the host and home countries of workers. Entities offer significant monetary and nonmonetary benefits to improve employee engagement and, therefore, retention and productivity. Initiatives to improve employee engagement and work-life balance might influence the recruitment and retention of a diverse workforce. As the industry is characterised by relatively low representation from women and minority groups, efforts to recruit from and develop diverse talent pools can serve to address the talent shortage and generally to improve the value of entity offerings. Greater workforce diversity is importantfor innovation, and it helps entities understand the needs of their diverse and global customer base."
Consumer Goods,E-Commerce,Data Security,"The business model of entities in the E-Commerce industry depend on a firm’s ability to securely process electronic payments. As consumers become more educated about the threats of cybercrime, particularly in the wake of continued high-profile attacks, having a reputation as a secure entity will become increasingly important to maintain or gain market share. There is an opportunity for the most trusted brands to position themselves favourably in the eyes of consumers andgain a significant competitive advantage. This makes user loyalty, which is highly influenced by the perception of the safety of the user’s valuable financial and personal information, particularly important to maintaining market share."
Extractives & Minerals Processing,Oil & Gas - Exploration & Production,Greenhouse Gas Emissions,"Exploration & Production (E&P) activities generate significant direct greenhouse gas (GHG) emissions from a variety of sources. Emissions may be combusted, including those arising from flaring or power generation equipment, or uncombusted, including those emissions arising from gas processing equipment, venting, flaring and fugitive methane. Regulatory efforts to reduce GHG emissions in response to climate change related risks may result in additional regulatorycompliance costs and risks for E&P entities. With natural gas production from shale resources expanding, the management of the emission of methane, a highly potent GHG, from oil and gas E&P systems has emerged as a major operational, reputational and regulatory risk for entities. Furthermore, the development of unconventional hydrocarbon resources may be more or less GHG-intensive than conventional oil and gas, with associated effects on regulatory risk. Energy efficiency, use of less carbon-intensive fuels, or process improvements to reduce fugitive emissions, venting and flaring, can provide direct benefits to E&P entities in the form of reduced costs or increased revenue."
Extractives & Minerals Processing,Oil & Gas - Exploration & Production,Water Management,"Depending on the extraction technique, exploration and production operations may consume significant quantities of water, which may expose entities to the risk of reduced water availability, regulations limiting use, or related cost increases, particularly in water-stressed regions. Contamination of local water resources can result from incidents involvingproduced water, flowback water, hydraulic fracturing fluids and other well fluids. Historically, the possible impacts of hydraulic fracturing operations and the risk of groundwater supply contamination have raised concerns. Reducing water use and contamination through recycling, other water management strategies, and use of non-toxic fracturing fluids could create operational efficiency for entities and reduce their operating costs. Such strategies could also minimise the effects that regulations, water supply shortages and community-related disruptions have on operations."
Extractives & Minerals Processing,Oil & Gas - Exploration & Production,Management of the Legal & Regulatory Environment,"The Oil & Gas – Exploration & Production industry is subject to numerous sustainability-related regulations and an often rapidly changing regulatory environment. Changes to the legal and regulatory environment may result in material impactson shareholder value. Entities in the industry regularly participate in the regulatory and legislative process on a wide variety of environmental and societal issues, and may do so directly or through representation by an industry association. Such engagement can result from entities seeking to ensure industry views are represented in the development of regulations impacting the industry as well as to represent shareholder interests. At the same time, such engagement to influence environmental laws and regulations may adversely affect entities’ reputations with stakeholders and ultimately impact the entity’s social license to operate. Entities that are able to balance these viewpoints may be better positioned to respond to medium- to long-term regulatory developments.."
Extractives & Minerals Processing,Oil & Gas - Exploration & Production,Business Ethics & Transparency,"Managing business ethics and maintaining an appropriate level of transparency in payments to governments or individuals are significant issues for the exploration and production (E&P) entities. This is due to the importance of government relations to entities’ ability to conduct business in this industry and to gain access to oil and gas reserves. Theemergence of several anti-corruption, anti-bribery, and payments-transparency laws and initiatives globally create regulatory mechanisms to reduce certain risks. Violations of these could lead to significant one-time costs or higher ongoing compliance costs, whereas successful compliance with such regulations could provide risk mitigation opportunities and avoid adverse outcomes. Enforcement of these laws could lead to significant one-time costs or higher ongoing compliance costs and even affect an entity’s social license to operate. Entities with significant reserves or operations in corruption-prone countries could face heightened risks. Entities are under pressure to ensure that their governance structures and business practices can address corruption and willful or unintentional participation in illegal or unethical payments or gifts to government officials or private persons."
Extractives & Minerals Processing,Oil & Gas - Exploration & Production,Biodiversity Impacts,"The exploration and production (E&P) industry’s activities can have significant impacts on biodiversity. Examples include habitat loss and alteration through land use for exploration, production, disposing of drilling and associated wastes, and decommissioning of onshore and offshore wells. Oil spills and leaks are a threat to species and habitats impacted by hydrocarbon contamination. Biodiversity impacts of E&P operations can affect the valuation of oil and gas reserves and create operational risks. The environmental characteristics of the land where reserves are located could increase extractioncosts as a result of increasing awareness and protection of ecosystems, making such reserves uneconomical to extract. Entities could also face regulatory or reputational barriers to accessing reserves in ecologically sensitive areas. This may include new protection statuses afforded to areas where reserves are located. Areas such as the Arctic and certain shorelines with mangroves and swamps are not only extremely ecologically sensitive, but also entail more complex and expensive cleanup operations if hydrocarbon spills or leaks occur there. Negative future impacts on the value of reserves could be mitigated by taking into consideration the location of reserves in or near protected areas when making investment or capital expenditure decisions. Entities with a good track record of minimising biodiversity impacts could gain a competitive advantage in accessing new reserves in or near protected areas. Ongoing E&P operations could be at risk in the absence of effective environmental management plans for different stages of the project lifecycle, due to regulatory penalties, litigation, community protests, and associated costs."
Extractives & Minerals Processing,Oil & Gas - Exploration & Production,Air Quality,"Air emissions from E&P operations other than greenhouse gas emissions include hazardous air pollutants, criteria air pollutants, and volatile organic compounds (VOCs), which can have significant, localised human health and environmental impacts. Of particular concern are sulphur dioxide, nitrogen dioxide, and VOC emissions. The financial impacts on entities from air emissions will vary depending on the specific locations of operations and the prevailing air emissions regulations. As E&P operations expand close to population centres, the impacts on human health are likely to be exacerbated if air emissions limits are breached. Active management of the issue—through technological and process improvements—could allow entities to limit the impact of regulations in an environment of increasing regulatory and public concerns about air quality. Entities could benefit from operational efficiencies that may lead to a lower cost structure over time."
Extractives & Minerals Processing,Oil & Gas - Exploration & Production,Community Relations,"Exploration and production (E&P) activities take place over a number of years, and entities may be involved in multiple projects in a region that can have a wide range of community impacts. Community rights and interests may be affected by environmental and social impacts of E&P operations, such as competition for access to local energy or water resources,air and water emissions, and waste from operations. E&P entities frequently need support from local communities to be able to obtain permits and leases and conduct their activities without disruptions. Entities may experience adverse financial impacts if the community interferes, or lobbies its government to interfere, with the rights of an E&P entity in relation to their ability to access, develop, and produce reserves. In addition to community concerns about the direct impacts of projects, the presence of E&P activities may result in associated socioeconomic impacts related to education, health, livelihoods, and food security for the community. E&P entities that are perceived as engaging in rent-seeking and exploiting a country or community’s resources without providing any socioeconomic benefits in return may be exposed to the risk of resource nationalism actions by host governments and communities. These could include imposition of ad hoc taxes and export restrictions. These risks may vary depending on the country, and could be higher in countries heavily reliant on oil and gas for their economic growth. Entities in the extractives industries can adopt various community engagement strategies in their global operations to manage risks and opportunities associated with community rights andinterests, such as integrating community engagement into each phase of the project cycle. Entities are beginning to adopta “shared value” approach to provide a key socioeconomic benefit to the community while allowing the entity to profitably operate."
Extractives & Minerals Processing,Oil & Gas - Exploration & Production,Reserves Valuation & Capital Expenditures,"Exploration and production (E&P) entities may be unable to extract a significant proportion of their proved and probable oil and gas reserves if greenhouse gas (GHG) emissions are controlled to limit global temperature increases. Entities with more carbon-intensive reserves and production and higher capital costs may face greater risks. Regulatory limits on GHG emissions, together with improved competitiveness of alternative energy technologies, could reduce global demand growth, and therefore reduce prices for oil and gas products. Extraction costs could increase with regulations that put a price on GHG emissions. These factors could affect the economic viability of oil and gas reserves. Regulatory actions that are more abrupt than anticipated, or those focusing on industries with high emissions, could impair asset values over a short period. Stewardship of capital resources and production decisions that consider near- and long-term trends related to climate change may mitigate potential asset impairment and maintain profitability and creditworthiness."
Extractives & Minerals Processing,Oil & Gas - Exploration & Production,Workforce Health & Safety,"Workers involved in exploration and production (E&P) activities face significant health and safety risks due to the harsh working environments and the hazards of handling oil and gas. In addition to acute impacts resulting from accidents, workers may develop chronic health conditions, including those caused by silica or dust inhalation, as well as mental health problems. A significant proportion of the workforce at oil and gas drilling sites consists of temporary workers and employees of Oil and Gas Services entities. Therefore, health impacts on, and the safety performance of, such workers also have impacts on E&P entities. Additional health and safety protocols may be needed to protect women and minorities, particularly when they operate in regions where they continue to face discrimination."
Extractives & Minerals Processing,Oil & Gas - Exploration & Production,Critical Incident Risk Management,"The exploration and production (E&P) industry faces significant hazards associated with exploration, development, and production activities. Releases of hydrocarbons or other hazardous substances as a result of accidents can also have significant consequences for an entity’s workforce, as well as external social and environmental consequences. In addition to effective process safety management practices, entities frequently prioritise developing a culture of safety to reduce theprobability that accidents and other health and safety incidents will occur. If accidents and other emergencies do occur, entities with a strong safety culture are often able to more effectively detect and respond to such incidents. A culture thatengages and empowers employees and contractors to work with management to safeguard their own health, safety, andwell-being and prevent accidents is likely to help entities reduce production downtime, mitigate costs, ensure workforce productivity, and maintain their license to operate."
Extractives & Minerals Processing,Oil & Gas - Exploration & Production,"Security, Human Rights & Rights of Indigenous Peoples","Exploration and production (E&P) entities face additional community-related risks when operating in conflict zones; in areas with weak or absent governance institutions, rule of law, and legislation to protect human rights; or in areas with vulnerable communities such as indigenous peoples. Entities using private or government security forces to protect their workers and assets may knowingly or unknowingly contribute to human rights violations, including use of excessive force.Indigenous people are often the most vulnerable sections of the population, with limited capacity to defend their unique rights and interests. Entities perceived as contributing to human rights violations or failing to account for indigenous peoples’ rights may be affected due to protests, riots, or suspension of permits. They could face substantial costs related to compensation or settlement payments and write-downs in the value of their reserves in such areas. In the absence of country laws to address such cases, several international instruments have emerged to provide guidelines for entities, including obtaining the free, prior, and informed consent of indigenous peoples for decisions that affect them. With greater awareness, several countries are also beginning to implement specific laws protecting indigenous peoples’ rights, creating increasing regulatory risk for entities."
Transportation,Auto Parts,Product Safety,"Driving is a risky activity, as distracted driving, speeding, drunk driving, and dangerous weather conditions, among other factors, can lead to accidents that expose drivers, passengers, and bystanders to possible injuries and deaths. Accidents can also be caused by defective parts in vehicles, and failure to detect defects before vehicles are sold can have significantfinancial repercussions for both automobile and auto parts manufacturers. Ensuring vehicle safety and responding in a timely manner when defects are identified can protect auto parts entities from regulatory action or customer lawsuits, which might otherwise result in significant costs. It can also help them retain their relationships with original equipment manufacturers (OEMs), which often select Tier 1 suppliers based on their safety performance and reliability. As cars incorporate more sophisticated electronics and other technologies, the risks related to recalls may increase. Through effective management of product safety, auto parts entities can enhance their reputation and drive higher sales over the long term."
Transportation,Auto Parts,Materials Sourcing,"Entities in the Auto Parts industry commonly rely on rare earth metals and other critical materials as key inputs for finishedproducts. Many of these inputs have few or no available substitutes and are often sourced from deposits concentrated in few countries, many of which are subject to geopolitical uncertainty. Other sustainability impacts related to climate change, land use, resource scarcity, and conflict in regions where the industry’s supply chain operates are also increasingly shaping the industry’s ability to source materials. Additionally, increased competition for these materials due to growing global demand from other sectors can result in price increases and supply risks. These materials play a crucial role in clean energy technologies, such as electric and hybrid vehicles. As regulators aim to reduce greenhouse gas emissions and consumer demand grows for more fuel-efficient vehicles, the share of hybrids and zero-emission vehicles (ZEVs) produced by the Automobiles industry is likely to continue to increase in the future. Entities that are able to limit the use of critical materials, secure their sourcing, and develop alternatives will protect themselves from supply disruptions and volatile input prices, which may impact their margins, risk profile, and cost of capital."
Transportation,Auto Parts,Energy Management,"Most energy consumed in the automobile manufacturing process occurs in the supply chain. Auto parts manufacturers use electricity and fossil fuels in their production processes, resulting in direct and indirect emissions of greenhouse gases (GHGs). Purchased electricity is a majority of the energy used in the Auto Parts industry. Sustainability initiatives such as incentives for energy efficiency and renewable energy are making alternative sources of energy more cost competitive. Regulators and consumers also are encouraging the industry to reduce GHG emissions. While managing the cost and risksassociated with overall energy efficiency, reliance on various types of energy and access to alternative energy sources may become increasingly important."
